ENSG	Symbol	Mapping	DrugBank
ENSG00000197766	CFD	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	DB03058:DB04459
ENSG00000126759	CFP	eQTLGen_trans_eQTLs	NA
ENSG00000128656	CHN1	eQTLGen_trans_eQTLs	NA
ENSG00000120903	CHRNA2	Positional;eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	DB00184:DB00411:DB00416:DB00472:DB00483:DB00514:DB00565:DB00657:DB00674:DB00721:DB00728:DB00732:DB00810:DB00898:DB01135:DB01199:DB01226:DB01245:DB01336:DB01337:DB01338:DB01339:DB05740:DB07720:DB08960
ENSG00000108556	CHRNE	PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cortex	DB00674
ENSG00000114737	CISH	eQTLGen_trans_eQTLs	NA
ENSG00000104879	CKM	Positional;eQTLcatalogue/CEDAR_monocyte_CD14:eQTLcatalogue/Fairfax_2014_naive:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	DB00148:DB02490:DB04027:DB13191
ENSG00000104859	CLASRP	Positional;eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000213719	CLIC1	eQTLcatalogue/Fairfax_2014_naive:BRAINEAC/PUTM	DB09130:DB11638
ENSG00000104853	CLPTM1	Positional;eQTLcatalogue/BrainSeq_ge_brain:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Brain_Cerebellum	NA
ENSG00000070371	CLTCL1	eQTLGen_trans_eQTLs	NA
ENSG00000120885	CLU	Positional;eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	DB01593:DB09130:DB14487:DB14533
ENSG00000064666	CNN2	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/CEDAR_monocyte_CD14:eQTLcatalogue/CEDAR_neutrophil_CD15:eQTLcatalogue/Fairfax_2012_B-cell_CD19:eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/Naranbhai_2015_neutrophil_CD16:eQTLcatalogue/Quach_2016_ge_monocyte_naive:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Whole_Blood:GTEx/v8/Spleen	NA
ENSG00000166997	CNPY4	Positional;eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/CEDAR_T-cell_CD8:eQTLcatalogue/Lepik_2017_ge_blood:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	NA
ENSG00000108797	CNTNAP1	eQTLGen_trans_eQTLs	NA
ENSG00000174469	CNTNAP2	eQTLGen_trans_eQTLs	NA
ENSG00000100473	COCH	eQTLGen_trans_eQTLs	NA
ENSG00000204248	COL11A2	eQTLGen_cis_eQTLs	NA
ENSG00000082293	COL19A1	eQTLGen_trans_eQTLs	NA
ENSG00000168090	COPS6	Positional;eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000071894	CPSF1	eQTLGen_cis_eQTLs:GTEx/v8/Whole_Blood	NA
ENSG00000165934	CPSF2	eQTLGen_cis_eQTLs	NA
ENSG00000203710	CR1	Positional;eQTLcatalogue/CEDAR_monocyte_CD14:eQTLcatalogue/Lepik_2017_ge_blood:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:CMC_NoSVA_cis:BRAINEAC/WHMT:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	NA
ENSG00000197721	CR1L	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000117322	CR2	Positional;PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:eQTLGen_trans_eQTLs	NA
ENSG00000148204	CRB2	eQTLGen_trans_eQTLs	NA
ENSG00000163703	CRELD1	eQTLGen_trans_eQTLs	NA
ENSG00000182809	CRIP2	eQTLGen_trans_eQTLs	NA
ENSG00000140577	CRTC3	eQTLGen_trans_eQTLs	NA
ENSG00000204435	CSNK2B	eQTLGen_cis_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis	DB00171:DB04216
ENSG00000149474	CSRP2BP	eQTLGen_trans_eQTLs	NA
ENSG00000101138	CSTF1	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Putamen_basal_ganglia	NA
ENSG00000254246	CTB-120L21.1	Positional	NA
ENSG00000267114	CTB-129P6.11	Positional;PsychENCODE_eQTLs	NA
ENSG00000267282	CTB-129P6.4	Positional;eQTLcatalogue/TwinsUK_ge_blood:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000266903	CTB-171A8.1	Positional;eQTLcatalogue/BrainSeq_ge_brain:eQTLcatalogue/Quach_2016_ge_monocyte_naive:PsychENCODE_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Brain_Substantia_nigra:GTEx/v8/Spleen	NA
ENSG00000267348	CTB-179K24.3	Positional;eQTLcatalogue/BrainSeq_ge_brain:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000268401	CTC-344H19.4	GTEx/v8/Spleen	NA
ENSG00000231412	CTC-490G23.2	Positional;eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/TwinsUK_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Spleen	NA
ENSG00000272396	CTC-490G23.4	Positional;GTEx/v8/Whole_Blood:GTEx/v8/Spleen	NA
ENSG00000267188	CTC-512J12.4	Positional	NA
ENSG00000267173	CTC-512J12.6	Positional	NA
ENSG00000270679	CTC-512J12.7	Positional;PsychENCODE_eQTLs	NA
ENSG00000233175	CTD-2020K17.3	eQTLGen_cis_eQTLs	NA
ENSG00000271350	CTD-2384B9.1	PsychENCODE_eQTLs	NA
ENSG00000228979	CTD-2501B8.5	Positional	NA
ENSG00000267334	CTD-2534I21.8	PsychENCODE_eQTLs	NA
ENSG00000204791	CTD-3065J16.6	Positional;eQTLGen_cis_eQTLs	NA
ENSG00000255224	CTD-3065J16.9	Positional	NA
ENSG00000163599	CTLA4	eQTLGen_trans_eQTLs	DB06186
ENSG00000044115	CTNNA1	eQTLGen_trans_eQTLs	NA
ENSG00000107874	CUEDC2	eQTLGen_trans_eQTLs	NA
ENSG00000169245	CXCL10	eQTLGen_trans_eQTLs	DB04487:DB06116:DB11338
ENSG00000160683	CXCR5	eQTLGen_trans_eQTLs	NA
ENSG00000172215	CXCR6	eQTLGen_trans_eQTLs	NA
ENSG00000188011	CXXC11	eQTLGen_trans_eQTLs	NA
ENSG00000008283	CYB561	PsychENCODE_eQTLs	NA
ENSG00000179091	CYC1	Positional	DB04141:DB04799:DB07401:DB07636:DB07763:DB07778:DB08330:DB08453:DB08690
ENSG00000204338	CYP21A1P	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Spleen	NA
ENSG00000231852	CYP21A2	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	DB01026
ENSG00000106258	CYP3A5	GTEx/v8/Whole_Blood	DB11994
ENSG00000165617	DACT1	eQTLGen_trans_eQTLs	NA
ENSG00000161692	DBF4B	CMC_SVA_cis:BRAINEAC/MEDU	NA
ENSG00000105516	DBP	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000172992	DCAKD	eQTLGen_cis_eQTLs	NA
ENSG00000213722	DDAH2	eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/TwinsUK_ge_blood:eQTLGen_cis_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis:GTEx/v8/Whole_Blood:GTEx/v8/Spleen	DB00155
ENSG00000134574	DDB2	eQTLcatalogue/BLUEPRINT_ge_monocyte:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000198563	DDX39B	eQTLGen_cis_eQTLs:GTEx/v8/Whole_Blood	DB02325:DB11638
ENSG00000140995	DEF8	eQTLGen_trans_eQTLs	NA
ENSG00000185000	DGAT1	eQTLGen_cis_eQTLs	NA
ENSG00000132153	DHX30	eQTLGen_trans_eQTLs	NA
ENSG00000104936	DMPK	Positional;PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:GTEx/v8/Brain_Substantia_nigra	DB01946
ENSG00000185800	DMWD	Positional;PsychENCODE_eQTLs:CMC_SVA_cis	NA
ENSG00000092964	DPYSL2	CMC_NoSVA_cis	DB11638
ENSG00000108861	DUSP3	eQTLGen_trans_eQTLs	NA
ENSG00000204348	DXO	eQTLGen_cis_eQTLs	NA
ENSG00000164330	EBF1	eQTLGen_trans_eQTLs	NA
ENSG00000134463	ECHDC3	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000135960	EDAR	eQTLGen_trans_eQTLs	NA
ENSG00000088298	EDEM2	eQTLGen_trans_eQTLs	NA
ENSG00000074266	EED	eQTLGen_cis_eQTLs:CMC_SVA_cis:BRAINEAC/MEDU	NA
ENSG00000108883	EFTUD2	eQTLGen_cis_eQTLs	NA
ENSG00000241404	EGFL8	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000173442	EHBP1L1	eQTLGen_trans_eQTLs	NA
ENSG00000204371	EHMT2	eQTLGen_cis_eQTLs:CMC_SVA_cis:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	NA
ENSG00000114784	EIF1B	eQTLGen_trans_eQTLs	NA
ENSG00000267346	EIF5AP3	Positional;BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000134014	ELP3	eQTLGen_cis_eQTLs	NA
ENSG00000125746	EML2	Positional;BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:CMC_NoSVA_cis	NA
ENSG00000171617	ENC1	eQTLGen_trans_eQTLs	NA
ENSG00000163508	EOMES	eQTLGen_trans_eQTLs	NA
ENSG00000146904	EPHA1	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:eQTLGen_trans_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	DB12010
ENSG00000229153	EPHA1-AS1	Positional;eQTLcatalogue/Alasoo_2018_ge_macrophage_naive:eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/Nedelec_2016_ge_macrophage_naive:eQTLcatalogue/TwinsUK_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Spleen	NA
ENSG00000116106	EPHA4	eQTLGen_trans_eQTLs	DB12010
ENSG00000196411	EPHB4	eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	DB01254:DB07249:DB07250:DB07251:DB07252:DB07253:DB07254:DB07255:DB07256:DB11973:DB12010
ENSG00000106123	EPHB6	eQTLGen_trans_eQTLs	DB12010
ENSG00000120915	EPHX2	Positional;eQTLcatalogue/Fairfax_2012_B-cell_CD19:eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:eQTLGen_trans_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	DB02029:DB03677:DB04213:DB06345:DB08256:DB08257:DB08258:DB08259:DB12610
ENSG00000227184	EPPK1	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000012061	ERCC1	Positional;eQTLcatalogue/Fairfax_2014_naive:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000104884	ERCC2	Positional;eQTLcatalogue/Alasoo_2018_ge_macrophage_naive:eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/BrainSeq_ge_brain:eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/GENCORD_ge_T-cell:eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:xQTLServer_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis:BRAINEAC/PUTM:GTEx/v8/Spleen	NA
ENSG00000163161	ERCC3	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Brain_Caudate_basal_ganglia	NA
ENSG00000157554	ERG	eQTLGen_trans_eQTLs	NA
ENSG00000197930	ERO1L	eQTLGen_cis_eQTLs	NA
ENSG00000140374	ETFA	xQTLServer_eQTLs	NA
ENSG00000105379	ETFB	eQTLGen_cis_eQTLs	NA
ENSG00000105755	ETHE1	Positional;GTEx/v8/Whole_Blood	NA
ENSG00000185862	EVI2B	eQTLGen_trans_eQTLs	NA
ENSG00000130201	EXOC3L2	Positional;eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000178896	EXOSC4	Positional	NA
ENSG00000134824	FADS2	eQTLGen_trans_eQTLs	DB00132
ENSG00000167106	FAM102A	eQTLGen_trans_eQTLs	NA
ENSG00000159860	FAM115D	eQTLGen_cis_eQTLs	NA
ENSG00000159784	FAM131B	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000154153	FAM134B	eQTLGen_trans_eQTLs	NA
ENSG00000148468	FAM171A1	eQTLGen_trans_eQTLs	NA
ENSG00000161682	FAM171A2	Positional	NA
ENSG00000196666	FAM180B	Positional;eQTLcatalogue/BrainSeq_ge_brain:PsychENCODE_eQTLs:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	NA
ENSG00000124103	FAM209A	Positional;eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000213714	FAM209B	Positional;eQTLcatalogue/Fairfax_2014_naive:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:GTEx/v8/Whole_Blood	NA
ENSG00000124098	FAM210B	eQTLGen_cis_eQTLs	NA
ENSG00000128923	FAM63B	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/Lepik_2017_ge_blood:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	NA
ENSG00000157470	FAM81A	PsychENCODE_eQTLs	NA
ENSG00000105523	FAM83E	PsychENCODE_eQTLs:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	NA
ENSG00000140092	FBLN5	eQTLGen_cis_eQTLs	NA
ENSG00000106336	FBXO24	Positional	NA
ENSG00000177051	FBXO46	Positional;CMC_NoSVA_cis	NA
ENSG00000104921	FCER2	eQTLGen_trans_eQTLs	DB06162
ENSG00000090920	FCGBP	eQTLGen_trans_eQTLs	NA
ENSG00000132185	FCRLA	eQTLGen_trans_eQTLs	NA
ENSG00000073712	FERMT2	Positional	NA
ENSG00000105550	FGF21	Positional	NA
ENSG00000189283	FHIT	eQTLGen_trans_eQTLs	DB02373:DB04173:DB04389
ENSG00000204315	FKBPL	eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000109920	FNBP4	Positional;eQTLcatalogue/Fairfax_2012_B-cell_CD19:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	NA
ENSG00000125740	FOSB	Positional;eQTLGen_cis_eQTLs	NA
ENSG00000049768	FOXP3	eQTLGen_trans_eQTLs	NA
ENSG00000108592	FTSJ3	eQTLcatalogue/Lepik_2017_ge_blood:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis:BRAINEAC/CRBL:BRAINEAC/OCTX:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Spleen	NA
ENSG00000174951	FUT1	Positional;PsychENCODE_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis	NA
ENSG00000176920	FUT2	Positional;BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	NA
ENSG00000180340	FZD2	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000197093	GAL3ST4	Positional;eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	NA
ENSG00000007237	GAS7	eQTLGen_trans_eQTLs	NA
ENSG00000239521	GATS	Positional;eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/Quach_2016_ge_monocyte_naive:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:BRAINEAC/MEDU:BRAINEAC/TCTX:BRAINEAC/THAL:BRAINEAC/WHMT:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Substantia_nigra	NA
ENSG00000160844	GATS	Positional;PsychENCODE_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:BRAINEAC/MEDU:BRAINEAC/TCTX:BRAINEAC/THAL:BRAINEAC/WHMT	NA
ENSG00000117228	GBP1	eQTLGen_trans_eQTLs	NA
ENSG00000162645	GBP2	eQTLGen_trans_eQTLs	NA
ENSG00000124091	GCNT7	Positional	NA
ENSG00000142252	GEMIN7	Positional;eQTLcatalogue/BrainSeq_ge_brain:eQTLcatalogue/Lepik_2017_ge_blood:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:xQTLServer_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Brain_Substantia_nigra:GTEx/v8/Spleen	NA
ENSG00000134812	GIF	eQTLGen_cis_eQTLs	NA
ENSG00000146830	GIGYF1	eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	NA
ENSG00000087258	GNAO1	xQTLServer_eQTLs	NA
ENSG00000172354	GNB2	GTEx/v8/Brain_Cerebellum	NA
ENSG00000167083	GNGT2	Positional;eQTLcatalogue/Alasoo_2018_ge_macrophage_naive:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/TwinsUK_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	NA
ENSG00000113552	GNPDA1	eQTLGen_trans_eQTLs	DB02379:DB02445:DB03951
ENSG00000100522	GNPNAT1	Positional	NA
ENSG00000204438	GPANK1	eQTLcatalogue/Fairfax_2014_naive:eQTLGen_cis_eQTLs:GTEx/v8/Whole_Blood	NA
ENSG00000186566	GPATCH8	Positional;eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000213420	GPC2	Positional;eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	NA
ENSG00000164850	GPER1	eQTLGen_trans_eQTLs	DB00783:DB01645:DB05939:DB13952:DB13953:DB13954:DB13955:DB13956
ENSG00000164393	GPR111	Positional;PsychENCODE_eQTLs	NA
ENSG00000153294	GPR115	Positional;PsychENCODE_eQTLs:GTEx/v8/Brain_Cerebellum	NA
ENSG00000169508	GPR183	eQTLGen_trans_eQTLs	NA
ENSG00000177464	GPR4	Positional	NA
ENSG00000213654	GPSM3	BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000211445	GPX3	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	DB00143
ENSG00000167468	GPX4	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	DB00143
ENSG00000116032	GRIN3B	eQTLcatalogue/BrainSeq_ge_brain:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Spleen	DB00142:DB00145:DB01159:DB01173:DB01520
ENSG00000178719	GRINA	eQTLcatalogue/CEDAR_B-cell_CD19:eQTLcatalogue/CEDAR_monocyte_CD14:eQTLcatalogue/CEDAR_T-cell_CD4:eQTLcatalogue/CEDAR_T-cell_CD8:eQTLcatalogue/Fairfax_2012_B-cell_CD19:eQTLcatalogue/Fairfax_2014_naive:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000030582	GRN	Positional;eQTLcatalogue/BrainSeq_ge_brain:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:xQTLServer_eQTLs:CMC_SVA_cis:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1	NA
ENSG00000234770	GULOP	Positional;BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000113249	HAVCR1	eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/Nedelec_2016_ge_macrophage_naive:eQTLcatalogue/Quach_2016_ge_monocyte_naive:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Spleen	NA
ENSG00000135077	HAVCR2	Positional;eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	NA
ENSG00000228962	HCG23	Positional;BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1	NA
ENSG00000206337	HCP5	GTEx/v8/Brain_Cerebellar_Hemisphere	NA
ENSG00000168517	HEXIM2	eQTLGen_cis_eQTLs	NA
ENSG00000124440	HIF3A	eQTLcatalogue/Kasela_2017_T-cell_CD4	NA
ENSG00000156510	HKDC1	eQTLGen_trans_eQTLs	NA
